x,y,type,name
160185.1628,6882168.403,police,Bungay Police Station
-91333.42319,6811324.701,police,Wolverton Police Station
-54670.64946,6687154.241,police,Addlestone Police
-335296.2766,6671983.242,police,Police Beat Post
-131509.095,6963882.968,police,Clifton Police Station
-344974.6603,7053607.422,police,Upton Police Station
-29499.03054,6680401.445,police,Epsom Police Counter (in Town Hall)
-263121.461,6744538.313,police,Dursley Police Station
-176528.5672,6738411.861,police,Faringdon Police Station
-135524.979,6969548.158,police,Beeston Police Station
-411080.059,6522056.593,police,Totnes Police
-386729.31,6656818.638,police,Minehead Police Station
-127699.3858,6979225.585,police,Safer Sherwood
-190890.8855,6734028.29,police,Highworth police station
-512.6707829,6717037.729,police,Stratford Safer Neighbourhood Team
-338478.6671,7061479.581,police,Wallasey Police Station
-31925.90676,7209777.116,police,Filey Police Office
69451.81842,6881349.632,police,Brandon Police Station
-101110.948,6675198.329,police,Hartley Wintney Police Station
-215085.1526,6882112.783,police,West Midlands police room
-331209.5155,7044411.626,police,Bromborough Police Station
-334648.297,7048018.298,police,Bebington Police Station
-149706.8483,6903152.028,police,Barwell Neighbourhood Team
-335442.4502,7056088.507,police,Birkenhead Police Station
-340255.9384,7057523.463,police,Merseyside Police Laird Street
-455576.3519,6508750.975,police,Plymstock Fire Station
-281484.3346,7061468.671,police,Risley Police Station
16426.04803,6707351.135,police,Belvedere Police Station
-108340.2361,6704377.89,police,Church House
-229023.0208,7073103.658,police,Stalybridge Police Post
-128366.5123,7021244.844,police,Warsop Town Hall
-248006.8568,6985387.129,police,Newcastle Police Station
145552.6832,6914221.595,police,British Transport Police Norwich
-18376.3989,6656789.574,police,Salfords Custody
-153358.6174,7270012.647,police,Police Tactical Training Centre
-120822.9693,7162149.001,police,North Street Police Station
-3837.383223,6742197.349,police,Safer Neighbourhoods Station
77225.59242,6718064.968,police,Westcliff Police Station
-10208.21994,6712076.364,police,City of London Police
-211561.4009,6718299.526,police,Royal Wootton Bassett Police Station
-40906.77366,6718967.347,police,Metropolitan Police ward office
-18560.8219,6923384.476,police,Crowland Police Station
-17679.65021,6737474.955,police,Colindale
-32913.34404,6903906.171,police,Thorpe Wood Police Station
-297484.9195,7098293.055,police,Coppull Police Station
-461288.1884,6542035.91,police,Tavistock Police Station
-253426.1456,7182966.887,police,Settle Police Station
-33472.02317,6703800.121,police,Richmond Police Station
22273.05975,6719076.439,police,Elm Park Ward
-164533.0126,7046919.677,police,Woodseats Police Station - No Public Desk
-155798.3845,7056588.017,police,South Yorkshire Police Command Centre
-562782.9549,6492468.308,police,Truro Police Station
-152900.3596,6899212.412,police,Hinckley Police Station
-222108.444,7151376.189,police,Crosshills Police Station
-177599.4607,7225160.549,police,Bedale
-133414.7733,7193453.155,police,Easingwold Police Station
-191795.4342,7242008.114,police,Catterick Garrison Police Station
-222589.5891,7183799.621,police,Grassington Police Station
-211452.6641,6886894.527,police,Britsh Transport Police
-234596.5205,7073065.794,police,Ashton under lyne Police Station
-30246.14017,6591930.488,police,Shoreham Police Station
-287279.9835,7051881.078,police,Stockton Heath Police Station
-303311.1145,6630800.188,police,Somerton Police Station
-192890.2058,7247749.713,police,Ricmond Police Station
-120763.0349,7283371.605,police,Redcar & Cleveland HQ
-204363.0485,7333471.148,police,Consett Police Station
-154178.8195,7155877.628,police,Wetherby Police Station
-33100.34965,7036316.254,police,Wragby Police Station
-120394.7455,7163045.916,police,Minster Police Office
-205216.5796,6572862.204,police,Boscombe Police Hub
-11403.60203,6726287.027,police,Turnpike Parade Safer Neighbourhood Team base
-38206.18507,7121518.579,police,Osborne Street Police Station
-180187.7502,7355373.267,police,Northumbria Police
-28343.84592,6717713,police,Harlesden Police Station
-80812.15057,6871992.497,police,Kettering Customer Service Centre
-99504.88607,6843153.644,police,Northampton One Stop Shop
-18045.59077,6735872.696,police,Safer Neighbourhoods
101201.3506,6843163.388,police,Elmswell
-211272.1706,6888128.671,police,Birmingham Central Police Station
-11501.11791,6704043.828,police,Coldharbour & Herne Hill Wards
-20816.21044,6699044.773,police,Earlsfield Police Station
7218.723888,6656485.467,police,Edenbridge Station
-160617.2048,7363929.919,police,Northumbria Police
-240667.6073,6994803.811,police,Norton Community Police Post
-128088.8036,6916572.127,police,Fosse Neighbourhood Police Office
-207575.306,6573296.687,police,British Transport Police
63012.39776,6596372.51,police,Hastings Police Station
-52752.65916,6755759.548,police,Hemel Police Station
-143631.3756,6568458.821,police,Newport Police Station
-11852.6092,6699443.421,police,Thurlow Park & Knight's Hill Wards
-335115.9057,7056841.472,police,Mersey Tunnels Police station
-212044.9728,6886872.649,police,British Transport Police
-159080.8845,7234363.2,police,Northallerton Police Station
-192676.8508,6882088.453,police,West Midlands Police
-161160.9449,7370028.78,police,Whitley Bay Police Office
-226163.2342,6925504.403,police,Cannock Police Station
-524.3370655,6643599.354,police,East Grinstead Police Station
-289685.4418,6709062.453,police,Avon & Somerset Police
-164735.8256,7123895.203,police,Rothwell Police Station
-326844.4556,7061716.919,police,Tuebrook Police Station
-134249.4023,6549824.458,police,Police
-396876.1261,6709897.674,police,Bridgend Police Headquarters
-439274.8481,6732128.144,police,Swansea Police Station
-348948.0426,6711451.924,police,Rumney Police Station
-379211.6822,6827079.821,police,Powys Police
-375126.9804,6845786.313,police,Llandrindod Wells Police Station
-480055.7306,6773901.69,police,Carmarthen Police Station
-422968.6689,6739276.695,police,Neath Police Station
-336887.2659,6721032.934,police,Duffryn Police Station
-331999.3829,6726425.996,police,Maindee
-400856.566,6966261.004,police,Bala Police Station
-332328.6882,6724565.978,police,Pill Police Station
-365772.8259,6756779.172,police,Rhymney Police Station
-452262.3261,7016605.422,police,Bethesda Police Station
-425031.4636,6734308.684,police,Briton Ferry Cop Shop
-317768.7,6757754.352,police,Part Time
-449916.2233,6740830.103,police,Gorseinon Police Station
-553848.5639,6763604.977,police,Haverfordwest Police Station
-585878.4208,6778612.43,police,Gorsaf Heddlu Tyddewi / St David's Police Station
-332812.0486,6992138.409,police,Wrexham Police Station
-334520.903,6849567.746,police,Presteigne Police Station
-372095.105,6728132.402,police,British Transport Police
-407086.2496,6729377.852,police,Maesteg Police Station
-384358.9618,6731788.819,police,Tonypandy Police Station
-334051.4242,6737488.807,police,Gwent Police HQ
-333072.5585,6724838.164,police,Newport Central
-517373.1186,6795080.125,police,Crymych Police Station
-527019.4534,6764223.804,police,Narberth Police Station
-497476.1288,6806947.124,police,Heddlu
-376444.5579,6743061.957,police,Mountain Ash Police Station
-412938.9832,6758167.128,police,Seven Sisters Police Station
-329036.2473,6730399.317,police,Caerleon Police Station
-342581.6698,6977596.059,police,Cefn Mawr Police Station
-327864.3648,6725708.203,police,Alway Police Station
-306112.6587,6726614.387,police,Caldicot Police Station (Part Time)
-359485.1893,6744104.895,police,Bargoed Police Station
-425848.326,7348663.264,police,Dalbeattie Police Station
-448370.1849,7530729.183,police,Coatbridge Police station
-488769.6422,7518649.279,police,Barrhead Police Station
-354640.4983,7550173.108,police,Gayfield Square Police Office
-261128.1631,7514479.545,police,Duns Police Office
-335517.7356,7653413.351,police,Lochee Police Office
-312830.0553,7482857.001,police,Galashiels Police Office
-496115.1367,7865779.618,police,Muir of Ord Police Station and Council Service Point
-320352.0691,7647680.176,police,Tayport Police Station
-574305.6131,7945570.471,police,Ullapool Police Station
-430934.6694,7880702.389,police,Nairn Police Station
-548548.2421,7549564.943,police,Strathclyde Police
-443254.7426,7515629.6,police,Motherwell Police Station
-442401.0223,7506519.476,police,Larkhall Police Station
-303351.7572,7479027.31,police,Melrose Police Station
-401778.3248,7375417.089,police,Loreburn Road Police Station
-500747.7196,7480667.526,police,Kilmarnock Police Station
-466631.7354,7856923.832,police,Police Headquarters
-487897.543,7534621.458,police,Renfrew Police Office
-596662.4742,7671950.324,police,Appin
-689560.1143,7844946.038,police,Portree Police Station
-454405.7941,7522099.191,police,Uddingston Police Station
-352612.4576,7553175.644,police,Leith Police Station
-334438.3373,7391621.595,police,Langholm Police Station
-476407.9801,7531213.15,police,Finnieston Police Station
-493668.6349,7882872.279,police,Ross Cromarty & Skye Command Area Headquarters
-471604.3994,7519608.914,police,"Castlemilk Police Office, Strathclyde Police"
-378346.2176,7556578.543,police,South Queensferry
-526431.7087,7559315.274,police,Helensburgh
-435163.3852,7576210.086,police,Bannockburn Police Office
-279189.0714,7770648.701,police,Banchory Police Station
-449173.2771,7900639.885,police,Cromarty Police Station (closed)
-380234.8085,7565758.576,police,Rosyth Police Station
-502663.105,7525637.766,police,Johnstone Police Office
-496706.9223,7524231.48,police,Unused Police Sub Station
-492942.1639,7531353.061,police,Glasgow Airport Police
-620090.7631,7697948.259,police,Strontian Police Station
-480491.6577,7545538.613,police,Milngavie Police Station
-346810.9421,7549214.908,police,Portobello Police Station
-457856.4979,7528624.643,police,Baillieston Police Station
-357779.1068,7547806.101,police,West End Police Station
-311233.0436,7626373.14,police,Police Scotland
-373552.2772,7385141.412,police,Lockerbie Police Station
-491708.7551,7527857.208,police,Mill Street Station
-328422.0977,7547136.242,police,Tranent Police Station
-301277.7082,7808150.139,police,Alford Police Station
-520064.6346,7483480.372,police,Irvine Police Station
-361544.3995,7551855.199,police,Drylaw Police Station
-536267.7431,7550664.464,police,Gourock Police Station
-359035.7814,7550527.065,police,Police Scotland Edinburgh Office
-486994.831,7540288.052,police,Glasgow North West Police Station
