type,name,latitude,longitude
NHS Hospital,Julian Hospital,52.63298035,1.262589574
NHS Hospital,"Northgate Hospital, Gt Yarmouth",52.61719513,1.730520725
NHS Hospital,Bickley Day Hospital,52.51786423,1.017445207
NHS Hospital,Carlton Court,52.45330048,1.696761727
NHS Hospital,Savernake Hospital,51.41540909,-1.704911351
NHS Hospital,The Great Western Hospital,51.53853226,-1.727185845
NHS Hospital,Chippenham Community Hospital,51.45254135,-2.126694918
NHS Hospital,Trowbridge Community Hospital,51.32529831,-2.209868193
NHS Hospital,Basingstoke and North Hampshire Hospital,51.28063583,-1.109903693
NHS Hospital,Royal Hampshire County Hospital,51.06171036,-1.329156041
NHS Hospital,Andover War Memorial Hospital,51.2157402,-1.494678259
NHS Hospital,Darent Valley Hospital,51.43495178,0.258659244
NHS Hospital,Russells Hall Hospital,52.50294876,-2.118503094
NHS Hospital,Guest Hospital,52.52050018,-2.072715282
NHS Hospital,Corbett Hospital,52.46540833,-2.146383286
NHS Hospital,Cumberland Infirmary,54.89650345,-2.957777023
NHS Hospital,Penrith Hospital,54.65699768,-2.743259668
NHS Hospital,Cockermouth Community Hospital,54.6668129,-3.358580589
NHS Hospital,Kettering General Hospital,52.40114594,-0.741529107
NHS Hospital,Salisbury District Hospital,51.04394913,-1.789808512
NHS Hospital,Devizes Community Hospital,51.35458374,-1.993215919
NHS Hospital,St Mary's Hospital,52.39410019,-0.722185016
NHS Hospital,Isebrook Hospital,52.29767227,-0.683344126
NHS Hospital,Great Ormond Street Hospital ,51.52220917,-0.119909525
NHS Hospital,Bassetlaw Hospital,53.31655502,-1.110268831
NHS Hospital,Doncaster Royal Infirmary,53.53078461,-1.108923912
NHS Hospital,Montagu Hospital,53.49981689,-1.284931421
NHS Hospital,Retford Hospital,53.3254509,-0.950618625
NHS Hospital,Moorfields Eye Hospital (City Road),51.52724457,-0.089874275
NHS Hospital,"Discovery House - The Fens, The Vales & The Wolds",53.242836,-0.557784677
NHS Hospital,Peter Hodgkinson Centre - Charlesworth Ward & Conolly Ward,53.23357773,-0.51962018
NHS Hospital,Manthorpe Centre,52.92108917,-0.640699148
NHS Hospital,Medway Maritime Hospital,51.37985992,0.542076051
NHS Hospital,Queen Victoria Hospital (East Grinstead),51.13507462,-0.002886042
NHS Hospital,Green Parks House,51.36606979,0.056682058
NHS Hospital,Oxleas House,51.47819138,0.050057109
NHS Hospital,Memorial Hospital (Greenwich),51.46857452,0.064125076
NHS Hospital,Queen Mary,51.41904068,0.101675332
NHS Hospital,The Royal Marsden Hospital (London),51.49056244,-0.172550783
NHS Hospital,The Royal Marsden Hospital (Surrey),51.34347916,-0.19110027
NHS Hospital,Birmingham Children's Hospital,52.48489761,-1.8937397
NHS Hospital,Chelsea and Westminster Hospital,51.48431015,-0.181629702
NHS Hospital,Princess Alexandra Hospital,51.77153015,0.085471295
NHS Hospital,Homerton University Hospital,51.55063248,-0.046084356
NHS Hospital,Springfield University Hospital,51.43735886,-0.172358453
NHS Hospital,Barnes Hospital,51.46709061,-0.256503701
NHS Hospital,Tolworth Hospital,51.37908554,-0.288502634
NHS Hospital,Queen Elizabeth Hospital,54.93938446,-1.580765486
NHS Hospital,Dunston Hill Hospital,54.94639587,-1.659452677
NHS Hospital,Leeds General Infirmary,53.80146027,-1.552119255
NHS Hospital,Leeds Dental Hospital,53.80337524,-1.555701375
NHS Hospital,Wharfedale Hospital,53.91436005,-1.700584412
NHS Hospital,St James's Hospital,53.80687332,-1.520343781
NHS Hospital,Seacroft Hospital,53.80659103,-1.470889211
NHS Hospital,Chapel Allerton Hospital,53.82263947,-1.529794812
NHS Hospital,St George's,52.81059265,-2.109073639
NHS Hospital,Leigh Infirmary,53.50441742,-2.512239456
NHS Hospital,Royal Albert Edward Infirmary,53.55774307,-2.629076481
NHS Hospital,Wrightington Hospital,53.58981323,-2.711495161
NHS Hospital,Royal Orthopaedic Hospital,52.42113876,-1.960812807
NHS Hospital,Queen Elizabeth Hospital Birmingham,52.45014954,-1.941761851
NHS Hospital,University College Hospital,51.5248909,-0.136896163
NHS Hospital,University College Hospital at Westmoreland Street,51.51958084,-0.149753928
NHS Hospital,The Royal London Hospital For Integrated Medicine,51.52173996,-0.121384807
NHS Hospital,"National Hospital For Neurology and Neurosurgery, Queen Square",51.52217102,-0.121986859
NHS Hospital,Hospital For Tropical Diseases,51.52315903,-0.135395616
NHS Hospital,Fulbourn Hospital,52.1844902,0.188315377
NHS Hospital,Harefield Hospital,51.60673141,-0.482753932
NHS Hospital,Royal Brompton Hospital,51.48974228,-0.170840546
NHS Hospital,Freeman Hospital,55.0027771,-1.593362212
NHS Hospital,The Royal Victoria Infirmary,54.98021698,-1.618839502
NHS Hospital,Newcastle Dental Hospital,54.98150253,-1.62270236
NHS Hospital,Great North Childrens Hospital,54.98021698,-1.618839502
NHS Hospital,Cheltenham General Hospital,51.89212418,-2.07186842
NHS Hospital,Gloucestershire Royal Hospital,51.8663826,-2.232058525
NHS Hospital,Moore Cottage Hospital,51.88631058,-1.756776094
NHS Hospital,Thirlestaine Breast Centre,51.88847351,-2.069857597
NHS Hospital,Tetbury Hospital,51.63517761,-2.154729366
NHS Hospital,Berwick Infirmary,55.77328873,-2.004963875
NHS Hospital,Alnwick Infirmary,55.41094208,-1.697199821
NHS Hospital,Hexham General Hospital,54.97036743,-2.095677853
NHS Hospital,Haltwhistle War Memorial Hospital,54.97010803,-2.462919712
NHS Hospital,Blyth Community Hospital,55.12787628,-1.514920115
NHS Hospital,Northumbria Healthcare NHS Foundation Trust,55.02046204,-1.508162379
NHS Hospital,Wansbeck General Hospital,55.18431091,-1.546586394
NHS Hospital,Rothbury Community Hospital,55.30677414,-1.913899302
NHS Hospital,North Tyneside General Hospital,55.02524185,-1.467324495
NHS Hospital,London Road Community Hospital,52.91431808,-1.468631864
NHS Hospital,Royal Derby Hospital,52.91155624,-1.514264703
NHS Hospital,Churchill Hospital,51.75033569,-1.214694381
NHS Hospital,Horton General Hospital,52.05440903,-1.337175965
NHS Hospital,John Radcliffe Hospital,51.76387405,-1.219792008
NHS Hospital,St Peter's Hospital,51.37783432,-0.527046025
NHS Hospital,Ashford Hospital,51.44402313,-0.472798347
NHS Hospital,East Cleveland Hospital,54.56526947,-0.936341345
NHS Hospital,Friarage Hospital,54.34233475,-1.430518746
NHS Hospital,Guisborough General Hospital ,54.53883743,-1.052146792
NHS Hospital,The James Cook University Hospital,54.55175781,-1.214789987
NHS Hospital,Royal Lancaster Infirmary,54.04273224,-2.799217224
NHS Hospital,Furness General Hospital,54.13640213,-3.20788455
NHS Hospital,Westmorland General Hospital,54.30670929,-2.732536793
NHS Hospital,The Gordon Hospital,51.49234009,-0.135774717
NHS Hospital,The Riverside Centre,51.52607727,-0.461160362
NHS Hospital,Lambeth Hospital,51.46531677,-0.122234575
NHS Hospital,Maudsley Hospital,51.46873856,-0.091426156
NHS Hospital,Bethlem Royal Hospital,51.38092041,-0.029753098
NHS Hospital,Withernsea Hospital,53.7285347,0.034033589
NHS Hospital,Westlands - Inpatient Unit,53.74201202,-0.384643078
